vel_fl [m/s], vel_fr [m/s], vel_bl [m/s], vel_br [m/s], steer_fl [rad], steer_fr [rad], steer_bl [rad], steer_br [rad]
0,0,0,0,6.24942,6.25018,6.28318,6.28307
0,0,0,0,6.24901,6.24994,6.28318,6.28307
0,0,0,0,6.24882,6.2496,6.28318,6.28307
0,0,0,0,6.2488,6.24948,6.28318,6.28307
0,0,0,0,6.2488,6.24942,6.28318,6.28307
0,0.00621594,0,0,6.24878,6.24933,6.28318,6.28307
0,0,0,0,6.24876,6.2492,6.28318,6.28307
0,0,0,0,6.24871,6.24905,6.28318,6.28307
0,0,0,0,6.2486,6.24888,6.28318,6.28307
0,0,0,0,6.24843,6.2487,6.28318,6.28307
0,0,0,0,6.2482,6.24851,6.28318,6.28307
0,0,0,0,6.24794,6.24846,6.28318,6.28307
0,0,0,0,6.24785,6.24844,6.28318,6.28307
0,0,0,0,6.24781,6.2484,6.28318,6.28307
0,0,0,0,6.24776,6.24834,6.28318,6.28307
0.00626597,0,0,0,6.24767,6.24825,6.28318,6.28307
0,0,0,0,6.24756,6.24814,6.28318,6.28307
0,0,0,0,6.24742,6.24801,6.28318,6.28307
0,0,0,0,6.24716,6.24784,6.28318,6.28307
0,0,0,0,6.24668,6.24763,6.28318,6.28307
0,0,0,0,6.24655,6.24744,6.28318,6.28307
0,0,0,0,6.24654,6.24734,6.28318,6.28307
0,0,0,0,6.24654,6.24729,6.28318,6.28307
0,0,0,0,6.24653,6.24723,6.28318,6.28307
0,0,0,0,6.2465,6.24713,6.28318,6.28307
0,0,0,0,6.24644,6.24701,6.28318,6.28307
0,0,0,0,6.24635,6.24685,6.28318,6.28307
0,0,0,0,6.2462,6.24658,6.28318,6.28307
0,0,0,0,6.24595,6.24629,6.28318,6.28307
0,0,0,0,6.2457,6.24622,6.28318,6.28307
0.00624128,0,0,0,6.24554,6.24619,6.28318,6.28307
0,0,0,0,6.24535,6.24616,6.28318,6.28307
0,0,0,0,6.24512,6.24613,6.28318,6.28308
0,0,0,0,6.24488,6.24606,6.28318,6.28308
0,0,0,0,6.24472,6.24587,6.28318,6.28308
0,0,0,0,6.24469,6.24563,6.28318,6.28308
0,0,0,0,6.24469,6.24544,6.28318,6.28308
0,0,0,0,6.24469,6.24524,6.28318,6.28308
0,0,0,0,6.24468,6.24509,6.28318,6.28308
0,0,0,0,6.24465,6.24505,6.28318,6.28308
0,0,0,0,6.24458,6.24499,6.28318,6.28308
0,0,0,0,6.24445,6.24487,6.28318,6.28308
0,0,0,0,6.24432,6.24472,6.28318,6.28308
0,0.00628473,0,0,6.24421,6.24455,6.28318,6.28308
0,0,0,0,6.24404,6.2443,6.28318,6.28308
0,0,0,0,6.24377,6.24404,6.28318,6.28308
0,0,0,0,6.24352,6.24396,6.28318,6.28308
0,0,0,0,6.24344,6.24393,6.28318,6.28308
0,0,0,0,6.24339,6.24392,6.28318,6.28308
0,0,0,0,6.24333,6.24387,6.28318,6.28308
0,0,0,0,6.24324,6.24377,6.28318,6.28308
0,0,0,0,6.2431,6.24365,6.28318,6.28308
0,0,0,0,6.24283,6.24341,6.28318,6.28308
0,0,0,0,6.24241,6.2431,6.28318,6.28308
0,0,0,0,6.2423,6.24289,6.28318,6.28308
0,0,0,0,6.24229,6.24288,6.28318,6.28308
0,0,0,0,6.24228,6.24287,6.28318,6.28308
0,0,0,0,6.24226,6.24284,6.28318,6.28308
0,0,0,0,6.24221,6.24276,6.28318,6.28308
0,0,0,0,6.24214,6.24261,6.28318,6.28308
0,0,0,0,6.242,6.24241,6.28318,6.28308
0,0,0,0,6.24175,6.24209,6.28318,6.28308
0,0,0,0,6.24148,6.24182,6.28318,6.28308
0,0,0,0,6.24136,6.24179,6.28318,6.28308
0,0,0,0,6.24132,6.24177,6.28318,6.28308
0,0,0,0,6.24128,6.24175,6.28318,6.28308
0,0,0,0,6.24121,6.2417,6.28318,6.28308
0,0,0,0,6.24112,6.24162,6.28318,6.28308
0,0,0,0,6.24099,6.24151,6.28318,6.28307
0,0,0,0,6.24076,6.24137,6.28318,6.28307
0,0,0,0,6.24027,6.24114,6.28318,6.28307
0,0,0,0,6.21795,6.2409,6.28318,6.28307
0,0,0,0,6.21795,6.2408,6.28318,6.28307
0,0,0,0,6.21795,6.24077,6.28318,6.28307
0,0,0,0,6.21794,6.24071,6.28318,6.28307
0,0.00628366,0,0,6.21792,6.24063,6.28318,6.28307
0,0,0,0,6.21787,6.24055,6.28318,6.28307
0,0,0,0,6.21779,6.24042,6.28318,6.28307
0,0,0,0,6.21765,6.24019,6.28318,6.28307
0,0,0,0,6.21745,6.23989,6.28318,6.28307
0,0,0,0,6.21714,6.2397,6.28318,6.28307
0,0,0,0,6.21695,6.23966,6.28318,6.28306
0,0,0,0,6.21689,6.23963,6.28318,6.28306
0,0,0,0,6.21682,6.2396,6.28318,6.28306
0,0,0,0,6.21672,6.23954,6.28318,6.28306
0,0,0,0,6.21659,6.23945,6.28318,6.28305
0,0,0,0,6.21637,6.23934,6.28318,6.28305
0,0,0,0,6.21597,6.23916,6.28318,6.28304
0,0,0,0,6.21577,6.23891,6.28318,6.28303
0,0,0,0,6.21575,6.23865,6.28318,6.28302
