time_stamp [], traj_point [], x_pos [m], y_pos [m], heading [rad], lin_vel [m/s], ang_vel [rad/s]
0.000000000,0,1.73436,-9.99756e-06,5.7904e-07,0.3,0
0.000000000,0,1.74936,-9.98887e-06,5.7904e-07,0.3,0
0.000000000,0,1.76436,-9.98019e-06,5.7904e-07,0.3,0
0.000000000,0,1.77936,-9.9715e-06,5.7904e-07,0.3,0
0.000000000,0,1.79436,-9.96282e-06,5.7904e-07,0.3,0
0.000000000,0,1.80936,-9.95413e-06,5.7904e-07,0.3,0
0.000000000,0,1.82436,-9.94544e-06,5.7904e-07,0.3,0
0.000000000,0,1.83936,-9.93676e-06,5.7904e-07,0.3,0
0.000000000,0,1.85436,-9.92807e-06,5.7904e-07,0.3,0
0.000000000,0,1.86936,-9.91939e-06,5.7904e-07,0.3,0
0.000000000,0,1.88436,-9.9107e-06,5.7904e-07,0.3,0
0.000000000,0,1.89936,-9.90202e-06,5.7904e-07,0.3,0
0.000000000,0,1.91436,-9.89333e-06,5.7904e-07,0.3,0
0.000000000,0,1.92936,-9.88464e-06,5.7904e-07,0.3,0
0.000000000,0,1.94436,-9.87596e-06,5.7904e-07,0.3,0
0.000000000,0,1.95936,-9.86727e-06,5.7904e-07,0.3,0
0.000000000,0,1.97436,-9.85859e-06,5.7904e-07,0.3,0
0.000000000,0,1.98936,-9.8499e-06,5.7904e-07,0.3,0
0.000000000,0,2.00436,-9.84122e-06,5.7904e-07,0.3,0
0.000000000,0,2.01936,-9.83253e-06,5.7904e-07,0.3,0
0.000000000,0,2.03436,-9.82384e-06,5.7904e-07,0.3,0
0.000000000,0,2.04936,-9.81516e-06,5.7904e-07,0.3,0
0.000000000,0,2.06436,-9.80647e-06,5.7904e-07,0.3,0
0.000000000,0,2.07936,-9.79779e-06,5.7904e-07,0.3,0
0.000000000,0,2.09436,-9.7891e-06,5.7904e-07,0.3,0
0.000000000,0,2.10936,-9.78042e-06,5.7904e-07,0.3,0
0.000000000,0,2.12436,-9.77173e-06,5.7904e-07,0.3,0
0.000000000,0,2.13936,-9.76304e-06,5.7904e-07,0.3,0
0.000000000,0,2.15436,-9.75436e-06,5.7904e-07,0.3,0
0.000000000,0,2.16936,-9.74567e-06,5.7904e-07,0.3,0
0.000000000,0,2.18436,-9.73699e-06,5.7904e-07,0.3,0
0.000000000,0,2.19936,-9.7283e-06,5.7904e-07,0.3,0
0.000000000,0,2.21436,-9.71962e-06,5.7904e-07,0.3,0
0.000000000,0,2.22936,-9.71093e-06,5.7904e-07,0.3,0
0.000000000,0,2.24436,-9.70225e-06,5.7904e-07,0.3,0
0.000000000,0,2.25936,-9.69356e-06,5.7904e-07,0.3,0
0.000000000,0,2.27436,-9.68487e-06,5.7904e-07,0.3,0
0.000000000,0,2.28936,-9.67619e-06,5.7904e-07,0.3,0
0.000000000,0,2.30436,-9.6675e-06,5.7904e-07,0.3,0
0.000000000,0,2.31936,-9.65882e-06,5.7904e-07,0.3,0
0.000000000,0,2.33436,-9.65013e-06,5.7904e-07,0.3,0
0.000000000,0,2.34936,-9.64145e-06,5.7904e-07,0.3,0
0.000000000,0,2.36436,-9.63276e-06,5.7904e-07,0.3,0
0.000000000,0,2.37936,-9.62407e-06,5.7904e-07,0.3,0
0.000000000,0,2.39436,-9.61539e-06,5.7904e-07,0.3,0
0.000000000,0,2.40936,-9.6067e-06,5.7904e-07,0.3,0
0.000000000,0,2.42436,-9.59802e-06,5.7904e-07,0.3,0
0.000000000,0,2.43936,-9.58933e-06,5.7904e-07,0.3,0
