time_stamp [], x_pos [m], y_pos [m], heading [rad], x_vel [m/s], y_vel [m/s], ang_vel [rad/s]
1640150536.267548084,0.0691888,-0.00110542,-0.0117408,0.068392,-0.000690487,-0.00599727
1640150536.307699203,0.0870579,-0.00144929,-0.0112685,0.0863463,-0.000826149,-0.00560015
1640150536.327651262,0.10179,-0.0017893,-0.0102776,0.101948,-0.00102068,-0.00497421
1640150536.428164005,0.16472,-0.00313821,0.0298188,0.164763,-0.00231972,0.0176251
1640150536.468333483,0.177941,-0.00286522,0.030473,0.17469,-0.00238473,0.0175945
1640150536.508491516,0.191378,-0.00258151,0.0311049,0.18452,-0.00245245,0.0175519
1640150536.568705797,0.202602,-0.00237889,0.0321617,0.188329,-0.0025036,0.0175519
1640150536.608817101,0.231085,-0.00243228,0.0123875,0.214206,-0.00324314,0.0061872
1640150536.648929834,0.252667,-0.00253841,0.0131215,0.231642,-0.00356208,0.00645781
1640150536.729160309,0.289223,-0.00305169,0.00916918,0.257882,-0.00446491,0.00390998
1640150536.769278765,0.302912,-0.00326537,0.0099054,0.265077,-0.0047099,0.0042401
1640150536.809518099,0.316515,-0.00344987,0.0106744,0.271868,-0.00492255,0.00458107
1640150536.849634171,0.329835,-0.00359163,0.0115789,0.278091,-0.00508703,0.00499182
1640150536.889749289,0.34289,-0.00369335,0.012614,0.283757,-0.00520923,0.00546761
1640150536.949926138,0.36013,-0.00379117,0.012943,0.289124,-0.00531114,0.00546761
1640150537.027489424,0.387861,-0.00383138,0.0165593,0.301691,-0.00548257,0.00724625
1640150537.070365906,0.400751,-0.00382465,0.0178948,0.305452,-0.00552111,0.00782933
1640150537.110508204,0.413608,-0.00380124,0.0192803,0.309718,-0.00557019,0.00843986
1640150537.150663614,0.426377,-0.00376698,0.0206881,0.313687,-0.00562272,0.00904902
1640150537.190845966,0.439024,-0.00372658,0.0220785,0.317327,-0.00568328,0.0096343
1640150537.231042624,0.451444,-0.00368076,0.0236335,0.320529,-0.00574915,0.0102999
1640150537.347522736,0.488685,-0.00351023,0.0283225,0.330378,-0.00604917,0.0122506
1640150537.391667128,0.502865,-0.0033898,0.0293721,0.333827,-0.00614628,0.0125399
1640150537.411746979,0.507101,-0.00340269,0.0304137,0.332758,-0.00620052,0.0129918
1640150537.451927662,0.519208,-0.00332591,0.0317725,0.334811,-0.00631758,0.0134686
1640150537.492072582,0.531136,-0.00324238,0.0332263,0.336547,-0.00643474,0.013989
1640150537.532269955,0.542995,-0.00313251,0.0347101,0.338081,-0.00653377,0.0145141
1640150537.632645369,0.575474,-0.00261053,0.0370965,0.34478,-0.006685,0.0150263
1640150537.687590599,0.590791,-0.00240071,0.0403467,0.345352,-0.00681502,0.0163798
1640150537.752993584,0.612495,-0.00196883,0.041667,0.349728,-0.00693869,0.0165197
1640150537.752993584,0.608364,-0.00211492,0.0418992,0.344924,-0.00691211,0.0166525
1640150537.793105364,0.619911,-0.00192755,0.0427246,0.345524,-0.00700387,0.0167422
1640150537.833217859,0.631326,-0.00174438,0.0433895,0.345901,-0.00710107,0.0167384
1640150537.913484097,0.653727,-0.0013647,0.0446069,0.345971,-0.00727079,0.0166676
1640150537.967474222,0.670429,-0.000944683,0.0461857,0.347802,-0.00729329,0.0170538
1640150538.027548552,0.68728,-0.000490961,0.0478229,0.347639,-0.00727632,0.0174028
1640150538.087570429,0.704048,-0.000124398,0.0491351,0.347299,-0.00738364,0.0175551
1640150538.114058971,0.713272,0.000132761,0.0496001,0.349262,-0.00742942,0.0175551
1640150538.134149075,0.715102,7.04272e-05,0.0498634,0.344706,-0.00746924,0.017504
1640150538.214435816,0.737462,0.000392584,0.0507674,0.344129,-0.00782928,0.0172209
1640150538.294780493,0.763203,0.000860925,0.0516177,0.347286,-0.00821067,0.0169223
1640150538.327505350,0.769928,0.000805765,0.0515042,0.344113,-0.00842306,0.0165424
1640150538.375004768,0.78472,0.00112813,0.0520441,0.345399,-0.00855981,0.016403
1640150538.415181637,0.795438,0.00126473,0.0522105,0.344377,-0.00872168,0.0161254
1640150538.435270548,0.796566,0.00115471,0.0519109,0.338934,-0.00875277,0.0157696
1640150538.475409746,0.807197,0.00130071,0.0520349,0.337907,-0.00889436,0.0154798
1640150538.555740356,0.831418,0.00179805,0.052815,0.339261,-0.00910678,0.0152218
1640150538.627593756,0.849616,0.00193943,0.0526991,0.336279,-0.00942439,0.0145451
1640150538.676191330,0.864524,0.00225975,0.0532355,0.337303,-0.00953364,0.0144485
1640150538.716375828,0.875124,0.00242846,0.0534628,0.336132,-0.00962841,0.0142497
1640150538.736466646,0.876001,0.00236385,0.0532924,0.330404,-0.00957481,0.0139893
1640150538.776615143,0.886506,0.00253738,0.0535336,0.329242,-0.00965835,0.0138069
1640150538.856877804,0.911873,0.00303165,0.0541967,0.331936,-0.00992106,0.013558
1640150538.937105656,0.93262,0.00337646,0.0544866,0.329194,-0.0100601,0.0131141
1640150538.977278709,0.943003,0.00354907,0.0545998,0.327837,-0.0101266,0.0128815
1640150538.997370720,0.943543,0.00349442,0.0543124,0.321757,-0.010029,0.0125703
1640150539.037567616,0.953812,0.00366797,0.0544181,0.32039,-0.0100871,0.0123429
1640150539.077664375,0.964081,0.00384115,0.0544669,0.319074,-0.0101449,0.012089
1640150539.187530756,0.993312,0.00456981,0.0542483,0.316675,-0.0100632,0.0112236
1640150539.238141060,1.00725,0.00489291,0.0545427,0.316197,-0.0100691,0.0110688
1640150539.278320074,1.01511,0.0050881,0.0545097,0.312193,-0.00994462,0.0108005
1640150539.318490505,1.0219,0.00525788,0.0545164,0.307082,-0.00978645,0.0105606
1640150539.338545322,1.01837,0.00519381,0.0542096,0.29654,-0.00944481,0.0102653
1640150539.418806076,1.03517,0.0055609,0.0546392,0.290931,-0.00932521,0.0100459
1640150539.487511158,1.03532,0.0054875,0.0543949,0.270173,-0.00878763,0.00952244
1640150539.539302349,1.04535,0.00569663,0.0546937,0.266537,-0.00871403,0.0094125
1640150539.579478264,1.04799,0.00573566,0.0546743,0.258035,-0.008482,0.00918951
1640150539.619727373,1.05026,0.00576994,0.0546947,0.249336,-0.00823821,0.0089935
1640150539.639779329,1.04445,0.00563371,0.0544311,0.237024,-0.00785725,0.00874089
1640150539.720113754,1.05558,0.00585991,0.0547845,0.228508,-0.0076387,0.00854684
1640150539.800438404,1.05698,0.00586603,0.0546747,0.209799,-0.00709005,0.00810822
1640150539.827494383,1.0518,0.00575214,0.0543921,0.197119,-0.00668732,0.00782288
1640150539.880770206,1.05875,0.00589072,0.0545854,0.192542,-0.00657151,0.00769665
1640150539.920885086,1.05946,0.00589978,0.0546256,0.184143,-0.00631794,0.0075462
1640150539.981092215,1.06357,0.00597791,0.0547217,0.175516,-0.00606746,0.00734775
1640150540.021235466,1.05555,0.00582697,0.0542945,0.157709,-0.00546842,0.00694258
1640150540.067583084,1.05577,0.00583879,0.0540855,0.148438,-0.00516946,0.00664066
1640150540.127585649,1.05556,0.00584139,0.0539347,0.136364,-0.00478149,0.00632824
1640150540.187541962,1.05527,0.00583969,0.0537449,0.124822,-0.00441291,0.00600527
1640150540.222204685,1.05958,0.00591857,0.053953,0.123633,-0.00439551,0.00600527
1640150540.262472630,1.05923,0.00591195,0.0538923,0.116258,-0.00416142,0.00583597
1640150540.282551527,1.05516,0.0058394,0.053604,0.108135,-0.00388396,0.00560552
1640150540.322694302,1.05532,0.00584669,0.0533822,0.101741,-0.00367773,0.00535122
1640150540.427636385,1.05546,0.00585279,0.0531591,0.0857538,-0.0031682,0.00491258
1640150540.483217001,1.0584,0.00589987,0.0533137,0.0812246,-0.00304312,0.00484573
1640150540.523402691,1.05816,0.00589468,0.0532504,0.075446,-0.00285911,0.00470149
1640150540.563556433,1.05794,0.00589006,0.0532168,0.0699062,-0.00268249,0.00457718
1640150540.603690624,1.05777,0.00588619,0.0532044,0.0646142,-0.00251369,0.0044676
1640150540.663898230,1.05774,0.00588384,0.0532165,0.0573047,-0.00228167,0.0043249
1640150540.727880716,1.05539,0.00585194,0.0530333,0.0473014,-0.00194042,0.00406712
1640150540.784374237,1.057,0.00586995,0.0531798,0.0431181,-0.00182385,0.00402018
1640150540.824517727,1.05687,0.00586725,0.0531693,0.0388769,-0.00168707,0.00392418
1640150540.864730597,1.05673,0.00586419,0.0531669,0.034772,-0.0015544,0.00383476
1640150540.904877901,1.05659,0.00586118,0.0531639,0.0308298,-0.00142661,0.00374712
1640150540.965183735,1.05646,0.00585737,0.05317,0.0252998,-0.00124808,0.00362505
1640150541.045492172,1.05614,0.0058519,0.0531461,0.0182761,-0.00101744,0.00345163
1640150541.067461252,1.05541,0.00585279,0.053006,0.0157059,-0.000914942,0.00332894
1640150541.125778675,1.05591,0.00584726,0.053132,0.0119086,-0.000808236,0.00329057
1640150541.165891886,1.0558,0.00584495,0.0531294,0.00892655,-0.000709894,0.00321548
1640150541.206006527,1.05569,0.00584275,0.0531268,0.00607557,-0.000615585,0.00314211
1640150541.246208668,1.0556,0.00584088,0.0531155,0.00335622,-0.000525281,0.00306537
1640150541.346597433,1.05535,0.00583596,0.0531097,-0.00293145,-0.000315418,0.00289335
1640150541.367579699,1.05542,0.00585306,0.0529969,-0.00401782,-0.000260566,0.00279484
1640150541.426888466,1.05517,0.00583235,0.0531057,-0.00744553,-0.000163512,0.00276276
1640150541.467098713,1.05509,0.00583065,0.0531037,-0.00954561,-9.24599e-05,0.00269979
1640150541.507215977,1.05501,0.00582909,0.0531016,-0.0115371,-2.4746e-05,0.00263824
1640150541.567432165,1.05542,0.00585306,0.0529969,-0.013731,6.9228e-05,0.0024905
1640150541.607620001,1.05542,0.00585306,0.0529969,-0.0153997,0.000126689,0.0024335
1640150541.667470694,1.05542,0.00585306,0.0529969,-0.0177205,0.00020717,0.00235084
1640150541.727963924,1.05543,0.00585333,0.0529878,-0.0198688,0.000282447,0.002265
1640150541.768169641,1.05458,0.00582113,0.0530789,-0.0221853,0.000344093,0.002265
1640150541.808348417,1.05453,0.00582021,0.0530767,-0.0235041,0.000390859,0.00221313
1640150541.868655205,1.05543,0.00585333,0.0529878,-0.0242089,0.000436563,0.00208847
1640150541.908804655,1.05542,0.00585318,0.0529781,-0.0252945,0.000475766,0.00203514
1640150541.989089012,1.05432,0.00581665,0.0530579,-0.0285238,0.000572461,0.00198861
1640150542.027482271,1.05542,0.00585318,0.0529781,-0.0280835,0.00057836,0.00190033
1640150542.069436550,1.05419,0.00581378,0.0530578,-0.0303644,0.000640218,0.00190033
1640150542.149708033,1.05419,0.00581455,0.0530508,-0.0318446,0.000697788,0.00181256
1640150542.189831018,1.05416,0.00581419,0.0530491,-0.0325269,0.000724405,0.00177108
1640150542.229944944,1.05413,0.00581385,0.0530475,-0.0331554,0.000749294,0.00173059
1640150542.270057917,1.05411,0.00581354,0.0530459,-0.0337318,0.000772508,0.00169102
1640150542.290140629,1.05542,0.00585318,0.0529781,-0.0324628,0.000748228,0.00163323
1640150542.330338955,1.05542,0.00585318,0.0529781,-0.0329417,0.000768107,0.00159582
1640150542.410650253,1.05542,0.00585318,0.0529781,-0.0337594,0.000803384,0.00152344
1640150542.490976810,1.05401,0.00581251,0.0530378,-0.0360508,0.000872824,0.00148857
1640150542.531154633,1.05542,0.00585318,0.0529781,-0.0346848,0.000846486,0.00142119
1640150542.571284533,1.05399,0.00581244,0.0530351,-0.0365773,0.000899036,0.00142119
1640150542.611430645,1.05398,0.00581242,0.0530338,-0.0367852,0.000910325,0.00138868
1640150542.687520266,1.05542,0.00585318,0.0529781,-0.0353898,0.000886214,0.00129849
