time_stamp [], x_pos [m], y_pos [m], heading [rad], x_vel [m/s], y_vel [m/s], ang_vel [rad/s]
1640236034.482531071,0.37983,0.0133476,0.0315479,0.310237,0.00209209,0.000549395
1640236034.583015203,0.407675,0.0130353,0.0213749,0.315723,0.00229506,-0.000154433
1640236034.623204470,0.419909,0.0127225,0.016794,0.318927,0.00236588,-0.000506494
1640236034.663435459,0.43205,0.0123635,0.0125769,0.321863,0.00241196,-0.000855973
1640236034.683508396,0.437106,0.0115881,0.00707116,0.3221,0.00241757,-0.00136457
1640236034.734209299,0.454718,0.0110409,0.00232222,0.328187,0.0024317,-0.00184306
1640236034.804379463,0.477166,0.0109902,0.000800739,0.333881,0.00243978,-0.00199814
1640236034.884773970,0.497196,0.0101207,-0.00400051,0.333608,0.00228652,-0.00257643
1640236034.924978018,0.508764,0.00969848,-0.00602086,0.335111,0.00219931,-0.00284473
1640236034.965149403,0.520277,0.00927498,-0.00784267,0.336463,0.0020992,-0.00310288
1640236035.005326986,0.534535,0.00865312,-0.010243,0.340812,0.00196163,-0.00347397
1640236035.034343719,0.541084,0.00810997,-0.012283,0.339516,0.00180098,-0.00382312
1640236035.094486952,0.557996,0.00752594,-0.0141229,0.340593,0.00162303,-0.00414584
1640236035.186264992,0.587133,0.00694432,-0.0154344,0.345772,0.00149034,-0.00434643
1640236035.226505518,0.594375,0.00658245,-0.0164864,0.341656,0.00135588,-0.00453998
1640236035.266701460,0.605757,0.0061108,-0.0175261,0.342273,0.00117745,-0.00476137
1640236035.306899071,0.620549,0.00513761,-0.0194988,0.34667,0.000737967,-0.00528411
1640236035.334467649,0.626498,0.00442271,-0.0212398,0.344748,0.000401175,-0.00574334
1640236035.387310743,0.643634,0.00390356,-0.0219739,0.347653,0.000273495,-0.00587269
1640236035.487777472,0.673917,0.00268687,-0.0239002,0.350175,-8.00031e-05,-0.00627223
1640236035.527937889,0.680462,0.00235561,-0.0248575,0.34482,-0.000103475,-0.006412
1640236035.568130970,0.692032,0.00193819,-0.025422,0.3452,-0.000198108,-0.00650577
1640236035.608282566,0.707377,0.00142224,-0.0257703,0.34979,-0.000356839,-0.00658675
1640236035.634246349,0.712829,0.00121762,-0.0262383,0.347513,-0.000355371,-0.00664011
1640236035.688591719,0.730542,0.000718867,-0.0266871,0.350028,-0.000391642,-0.00665289
1640236035.788968325,0.755642,-1.47927e-05,-0.0279143,0.345764,-0.000310056,-0.00669199
1640236035.829133034,0.767382,-0.000357499,-0.0282865,0.346035,-0.00031118,-0.00669811
1640236035.869288206,0.778966,-0.000692427,-0.0286562,0.346085,-0.000302324,-0.00669891
1640236035.909553766,0.794841,-0.00114593,-0.028834,0.350892,-0.000349821,-0.00668423
1640236035.934244156,0.79991,-0.00127239,-0.0291333,0.34838,-0.000283616,-0.00667061
1640236035.989909172,0.81815,-0.00181078,-0.029545,0.350609,-0.000299477,-0.00666432
1640236036.090274572,0.842547,-0.00248486,-0.0305371,0.344802,-0.000149942,-0.00662311
1640236036.130521536,0.854213,-0.0028105,-0.0308539,0.344702,-0.000111069,-0.00659975
1640236036.170725822,0.870315,-0.00330846,-0.0310635,0.349582,-0.00015606,-0.00659502
1640236036.194330215,0.874692,-0.00345914,-0.0313268,0.346522,-0.000148109,-0.0066072
1640236036.251070738,0.893193,-0.0040501,-0.0317332,0.348439,-0.000178212,-0.00660868
1640236036.291274786,0.90471,-0.00440242,-0.0320541,0.347923,-0.000157557,-0.00659679
1640236036.331492186,0.916254,-0.00472873,-0.032362,0.347415,-0.000100499,-0.00656446
1640236036.431921482,0.939678,-0.00531269,-0.0332111,0.340202,0.000161962,-0.0064497
1640236036.472085238,0.956017,-0.00565871,-0.0334946,0.345241,0.000403011,-0.00633679
1640236036.494258642,0.960047,-0.00559098,-0.0336091,0.342239,0.000657157,-0.00619871
1640236036.552490950,0.978778,-0.00611982,-0.0339467,0.343756,0.000714423,-0.00615205
1640236036.592678308,0.99015,-0.00634653,-0.0341444,0.342987,0.000861242,-0.00606011
1640236036.634271622,0.999585,-0.00638148,-0.0342684,0.339468,0.00115302,-0.00587677
1640236036.733294487,1.02385,-0.00700023,-0.0344703,0.333445,0.00114324,-0.00574869
1640236036.773453951,1.03488,-0.00720048,-0.0346878,0.332498,0.00131278,-0.00566419
1640236036.813608646,1.05132,-0.00748577,-0.0352119,0.337645,0.00172026,-0.00557452
1640236036.834355831,1.05476,-0.00737607,-0.0351442,0.334415,0.00192925,-0.00542459
1640236036.895020962,1.07152,-0.00764627,-0.0352743,0.332821,0.00214543,-0.00526978
1640236036.974435568,1.09606,-0.00819598,-0.0355939,0.333777,0.0023191,-0.00517002
1640236037.014622688,1.105,-0.00814123,-0.035521,0.33022,0.00261365,-0.00496449
1640236037.074959278,1.12499,-0.00869454,-0.0358206,0.332505,0.00262883,-0.00496449
1640236037.115120173,1.1291,-0.00864759,-0.03513,0.32365,0.00245955,-0.00477259
1640236037.155322552,1.14595,-0.00885968,-0.035939,0.329301,0.00305034,-0.00472251
1640236037.194298983,1.15514,-0.00878346,-0.0358532,0.32648,0.00336772,-0.00452207
1640236037.275822878,1.17943,-0.0092406,-0.0359932,0.326514,0.00351706,-0.00441339
1640236037.316013336,1.18865,-0.00915603,-0.035824,0.323346,0.00379424,-0.00421457
1640236037.356260777,1.19981,-0.00927414,-0.0358145,0.322418,0.00393566,-0.00411814
1640236037.416597843,1.21931,-0.00973526,-0.0360629,0.32426,0.00397579,-0.00411814
1640236037.456837177,1.22794,-0.00954748,-0.0358959,0.320684,0.00434529,-0.00389794
1640236037.514235973,1.24485,-0.00969208,-0.0360348,0.320569,0.0046504,-0.00377956
1640236037.534273863,1.25052,-0.00973871,-0.0360167,0.32023,0.00472527,-0.0037319
1640236037.617481947,1.27315,-0.00990381,-0.035788,0.317858,0.00496316,-0.00352401
1640236037.657639503,1.28447,-0.00997506,-0.0357667,0.3172,0.00512927,-0.00343432
1640236037.718008995,1.30367,-0.0103511,-0.0359741,0.318734,0.00519008,-0.00343432
1640236037.758199930,1.31415,-0.010308,-0.0358348,0.317118,0.00541234,-0.00329814
1640236037.774399519,1.31834,-0.0101583,-0.0358848,0.316432,0.00571208,-0.00320319
1640236037.878736019,1.34797,-0.0104544,-0.035603,0.315001,0.00584995,-0.00303203
1640236037.918878794,1.35926,-0.0104952,-0.03555,0.314363,0.00600343,-0.00295179
1640236037.979138851,1.3769,-0.0106299,-0.035555,0.314185,0.00618501,-0.00287282
1640236038.034344673,1.39224,-0.0104271,-0.0356047,0.313099,0.00674197,-0.00269622
1640236038.054282904,1.39799,-0.0104389,-0.0355715,0.312918,0.00682053,-0.00265769
1640236038.099626303,1.4122,-0.0106342,-0.035692,0.313843,0.00688593,-0.00265769
1640236038.179976940,1.4336,-0.0106305,-0.0351551,0.311191,0.00703022,-0.00245532
1640236038.220171928,1.44524,-0.010633,-0.0351383,0.310947,0.00720916,-0.00239147
1640236038.280443430,1.46312,-0.0107026,-0.035156,0.311063,0.00741311,-0.00232805
1640236038.334398270,1.47973,-0.0104888,-0.0354925,0.311843,0.00806465,-0.00222668
1640236038.354340315,1.48563,-0.0104847,-0.0354578,0.311812,0.00814316,-0.00219443
1640236038.400957823,1.50019,-0.0106197,-0.0355601,0.312646,0.0082246,-0.00219443
1640236038.481418371,1.5218,-0.0105603,-0.0348343,0.31012,0.00828627,-0.00199106
1640236038.521588802,1.53366,-0.0105347,-0.0348004,0.310086,0.00845217,-0.00193845
1640236038.561739445,1.54561,-0.0105042,-0.034784,0.310151,0.00862687,-0.00188933
1640236038.622030497,1.56351,-0.0104522,-0.0347199,0.310173,0.00886961,-0.00181316
1640236038.682248116,1.58388,-0.0103476,-0.0353299,0.312932,0.00947477,-0.00181641
